cycle,pc_f,fetch0,fetch1,decode0,decode1,issue0,issue1,exec0,exec1,result0,result1,branch_taken0,branch_taken1,jump_taken0,jump_taken1,branch_target0,branch_target1,jump_target0,jump_target1,mem0_re,mem0_we,mem1_re,mem1_we,mem_addr0,mem_addr1,fwd_rs1_0_en,fwd_rs2_0_en,fwd_rs1_1_src,fwd_rs2_1_src,stall_if_id,busy_vec,load_pending_vec
28,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
29,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
30,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
31,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
32,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
33,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
34,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
35,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
36,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
37,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
38,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
39,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
40,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
